filename,label,labelname
NIH3T3_3S/8_N3_568Vim_D002_nucleus_1552_744_26_38.tif,7.0,NIH3T3_3S
MCF7_5/12_MN5_488epcam_568vim_D001_nucleus_1213_309_0_7.tif,1.0,MCF7_5
NIH3T3_3S/8_N3_568Vim_D001_nucleus_1087_1957_5_9.tif,7.0,NIH3T3_3S
NIH3T3_5S/11_N5_568Vim_D003_nucleus_2569_432_15_24.tif,8.0,NIH3T3_5S
NIH3T3_5S/11_N5_568Vim_D003_nucleus_295_524_14_20.tif,8.0,NIH3T3_5S
NIH3T3_1S/2_N1_568Vim_D001_nucleus_1451_938_28_34.tif,2.0,NIH3T3_1S
NIH3T3_1S/2_N1_568Vim_D001_nucleus_2156_2574_43_50.tif,2.0,NIH3T3_1S
NIH3T3_3S/8_N3_568Vim_D002_nucleus_837_1277_0_6.tif,7.0,NIH3T3_3S
NIH3T3_5S/11_N5_568Vim_D001_nucleus_2728_1025_34_47.tif,8.0,NIH3T3_5S
MCF7_2/6_MN2_488epcam_568vim_D001_nucleus_2896_1287_45_56.tif,12.0,MCF7_2
MCF7_2S/4_M2_488epcam_D001_nucleus_532_669_12_26.tif,6.0,MCF7_2S
MCF7_3S/7_M3_488epcam_D003_nucleus_426_440_24_33.tif,11.0,MCF7_3S
NIH3T3_1/3_MN1_488epcam_568vim_D003_nucleus_2180_2625_9_20.tif,9.0,NIH3T3_1
NIH3T3_2/6_MN2_488epcam_568vim_D003_nucleus_2783_1884_20_27.tif,13.0,NIH3T3_2
NIH3T3_3S/8_N3_568Vim_D003_nucleus_1649_1374_25_38.tif,7.0,NIH3T3_3S
NIH3T3_1/3_MN1_488epcam_568vim_D001_nucleus_1034_2086_13_27.tif,9.0,NIH3T3_1
NIH3T3_5S/11_N5_568Vim_D003_nucleus_609_1137_6_14.tif,8.0,NIH3T3_5S
NIH3T3_5S/11_N5_568Vim_D003_nucleus_2811_2139_17_29.tif,8.0,NIH3T3_5S
MCF7_5S/10_M5_488epcam_D001_nucleus_444_1329_17_24.tif,14.0,MCF7_5S
NIH3T3_5/12_MN5_488epcam_568vim_D003_nucleus_2870_2551_10_16.tif,10.0,NIH3T3_5
NIH3T3_1/3_MN1_488epcam_568vim_D003_nucleus_1653_515_46_54.tif,9.0,NIH3T3_1
NIH3T3_1S/2_N1_568Vim_D002_nucleus_2856_461_10_19.tif,2.0,NIH3T3_1S
NIH3T3_5S/11_N5_568Vim_D001_nucleus_2826_1755_14_22.tif,8.0,NIH3T3_5S
MCF7_5S/10_M5_488epcam_D001_nucleus_669_1211_2_6.tif,14.0,MCF7_5S
